Id,ItemID,Depressive,SentimentSource,SentimentText,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
0,1,0,Sentiment140,                     is so sad for my APL friend.............,10,25.89,50,3.37,1,2.5,10,60,40,10,10,10,0,0,0,0,0,0,10,10,10,10,0,10,10,0,0,20,0,10,0,10,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,Sentiment140,                     is so sad for my APL friend.............,9,93.26,13.32,58.07,1,2.25,22.22,44.44,22.22,11.11,11.11,11.11,0,0,0,0,0,11.11,0,0,0,0,0,11.11,11.11,0,0,22.22,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,Sentiment140,              omg its already 7:30 :O,9,46.37,50,4.97,25.77,2.25,22.22,44.44,22.22,11.11,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,22.22,0,22.22,0,0,0
3,4,0,Sentiment140,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,27,18.82,6.93,92.47,1,3.38,11.11,70.37,51.85,18.52,14.81,14.81,0,0,0,0,3.7,3.7,11.11,22.22,7.41,0,0,33.33,0,0,0,14.81,0,3.7,0,3.7,0,0,3.7,0,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,7.41,0,0,3.7,3.7,0,7.41,14.81,3.7,14.81,3.7,7.41,3.7,0,0,0,0,0,0,7.41,0,7.41,0,0,0
4,5,0,Sentiment140,         i think mi bf is cheating on me!!!       T_T,13,65.46,22.08,94.81,1,2.6,15.38,53.85,30.77,15.38,15.38,15.38,0,0,0,0,0,0,7.69,7.69,0,0,0,15.38,0,0,0,15.38,0,7.69,0,7.69,0,7.69,0,7.69,0,7.69,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,15.38,0,7.69,0,7.69,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0
5,6,0,Sentiment140,         or i just worry too much?        ,9,4.69,1.38,58.07,1,2.25,11.11,66.67,44.44,11.11,11.11,11.11,0,0,0,0,0,0,0,0,22.22,11.11,0,11.11,0,0,0,22.22,11.11,11.11,0,11.11,11.11,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1,Sentiment140,       Juuuuuuuuuuuuuuuuussssst Chillin!!,5,93.26,50,1,25.77,1.25,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
7,8,0,Sentiment140,       Sunny Again        Work Tomorrow  :-|       TV Tonight,9,75.9,50,98.01,99,2.25,33.33,66.67,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,11.11,22.22,33.33,0,0,33.33,11.11,11.11,0,0,0,0,0,0,0,0,0,0
8,9,1,Sentiment140,      handed in my uniform today . i miss you already,12,38.6,50,99,1,2.4,25,58.33,41.67,25,25,16.67,0,8.33,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,16.67,0,8.33,0,8.33,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,16.67,0,25,0,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0
9,10,1,Sentiment140,      hmmmm.... i wonder how she my number @-),10,1.92,15.86,43.37,25.77,2,10,60,40,30,30,20,0,0,10,0,0,0,0,0,10,10,0,10,0,0,10,20,0,0,0,0,0,0,0,10,0,0,10,0,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0
10,11,0,Sentiment140,      I must think about positive..,8,38.6,10.58,7.84,99,2,25,62.5,37.5,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,0,25,12.5,0,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,37.5,12.5,0,12.5,0,25,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,1,Sentiment140,      thanks to all the haters up in my face all day! 112-102,16,99,26.6,74.76,25.77,3.2,6.25,68.75,31.25,6.25,6.25,6.25,0,0,0,0,0,6.25,18.75,0,0,0,0,6.25,0,0,0,25,12.5,12.5,6.25,6.25,0,6.25,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,6.25,6.25,0,0,0,6.25,0,0,6.25,0,0,0,6.25,0,18.75,0,12.5,6.25,0,0,0,0,0,0,6.25,0,0,0,0,0
12,13,0,Sentiment140,      this weekend has sucked so far,9,4.69,13.32,58.07,1,2.25,22.22,66.67,33.33,11.11,0,0,0,0,0,0,11.11,0,0,11.11,11.11,11.11,0,22.22,11.11,0,0,22.22,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,22.22,0,11.11,11.11,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0
13,14,0,Sentiment140,     jb isnt showing in australia any more!,10,78.3,2.31,43.37,25.77,2.5,30,50,20,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,10,10,0,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,0,Sentiment140,     ok thats it you win.,8,1.92,99,1,99,2,12.5,62.5,37.5,37.5,12.5,0,0,12.5,0,0,25,0,0,12.5,0,0,0,12.5,0,0,0,25,0,25,25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0
15,16,0,Sentiment140,    &lt;-------- This is the way i feel right now...,12,38.6,20.24,99,25.77,3,8.33,66.67,41.67,16.67,8.33,8.33,0,0,0,0,8.33,8.33,0,8.33,8.33,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0
16,17,0,Sentiment140,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",22,7.71,50,31.94,25.77,3.14,18.18,68.18,36.36,13.64,13.64,13.64,0,0,0,0,0,0,0,18.18,9.09,0,0,13.64,4.55,0,0,9.09,4.55,9.09,4.55,4.55,0,0,4.55,13.64,0,0,0,4.55,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,4.55,0,4.55,0,0,0,22.73,0,4.55,0,0,4.55,0,4.55,0,0,0,0,13.64,0,13.64,4.55,0,0
17,18,1,Sentiment140,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,16,85.32,73.4,95.6,99,3.2,31.25,68.75,25,6.25,6.25,6.25,0,0,0,0,0,0,12.5,6.25,6.25,0,0,31.25,6.25,0,0,12.5,6.25,6.25,6.25,0,0,0,0,12.5,0,0,0,0,12.5,6.25,0,0,6.25,0,0,12.5,0,6.25,6.25,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,25,6.25,18.75,12.5,0,6.25,0,6.25,0,0,0,0,6.25,0,6.25,0,0,0
