ItemID,Depressive,SentimentSource,SentimentText,Analytic,Clout,Authentic,Tone,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,posemo,negemo,anx,anger,sad,social,family,friend,focuspast,focuspresent,focusfuture,work,leisure,home,money,relig,death
4285,0,Kaggle, A couple of very liberal people I know thought Brokeback Mountain was  stupid exploitation.,85.92,50,28.81,1,5.88,5.88,5.88,0,0,0,0,0,5.88,5.88,5.88,5.88,0,0,17.65,5.88,0,0,0,5.88,0,5.88,0,5.88,0,0,5.88,5.88,0,0,0,0,0,0,0
4286,0,Kaggle,""" Brokeback Mountain "" is tragic, but immensely well-executed, never feeling moralistic.",14.58,7.67,52.86,25.77,0,0,0,0,0,0,0,0,0,0,7.14,14.29,7.14,7.14,14.29,7.14,0,0,7.14,7.14,0,0,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0
4287,1,Kaggle, Harry Potter  series ( because of the delicious way my life is sucked away when I read it )..,52.71,6.7,74.76,25.77,15,10,10,0,0,0,0,5,5,10,5,5,10,0,15,0,0,5,5,5,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0
4288,1,Kaggle,""" I loved Brokeback Mountain and I haven't seen Crash, but I still feel like people are...",6.56,1.81,99,97.58,15.79,15.79,15.79,0,0,0,0,0,0,5.26,10.53,5.26,10.53,5.26,21.05,0,5.26,0,5.26,0,0,0,0,10.53,0,0,5.26,15.79,0,0,0,0,0,0,0
4289,1,Kaggle, Mission Impossible 3  was awesome and if you didn't see it because of some problem you have with Tom Cruise then stop pretending as though you actually like moives.,11.86,62.28,18.52,25.77,12.5,9.38,0,0,9.38,0,0,3.12,0,12.5,9.38,6.25,18.75,3.12,12.5,9.38,6.25,0,3.12,3.12,0,0,0,9.38,0,0,6.25,6.25,3.12,0,3.12,0,0,0,0
4290,0,Kaggle," Mission Impossible 3 sucks like a Theatan energy field!
4291,0,Kaggle, Or that awful "" Goth twist on Brokeback Mountain "" the "" Shattered-Spine Emo-Mound of cow shit.",98.49,16.66,1,1,3.23,0,0,0,0,0,0,3.23,6.45,9.68,0,0,3.23,0,6.45,6.45,3.23,0,3.23,9.68,0,6.45,0,0,0,0,0,3.23,0,0,3.23,0,0,0,0
4292,1,Kaggle, The Da Vinci Code  is awesome though.,52.71,15.86,3.37,99,0,0,0,0,0,0,0,0,10,0,10,10,10,0,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
4293,0,Kaggle,""" Thinking back to my comment to anax, I decided to write a really awful Harry Potter fanfic, rife with faked Mary Sue-ism...",96.16,22.08,63.54,1,7.69,7.69,7.69,0,0,0,0,0,3.85,15.38,0,7.69,0,0,11.54,3.85,0,0,0,3.85,0,0,0,3.85,0,0,3.85,3.85,0,3.85,0,0,0,0,0
4294,0,Sentiment140,"# @Rockchic65 Aw, poor you  Hope it's not oinkflu! ;)",18.82,50,1,25.77,16.67,8.33,0,0,8.33,0,0,8.33,0,0,8.33,0,0,8.33,16.67,8.33,0,0,8.33,8.33,0,0,0,8.33,0,0,0,16.67,8.33,0,0,0,8.33,0,0
4295,1,Sentiment140,# 1 perk when working for the PGA: free tickets to one of the most famous golf tournaments in the world ,99,50,9.25,93.61,0,0,0,0,0,0,0,0,13.04,17.39,0,4.35,4.35,0,4.35,8.7,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,0,4.35,8.7,0,4.35,0,0
4296,0,Sentiment140,# About to head back to work - the holidays over ,99,50,23.51,25.77,0,0,0,0,0,0,0,0,8.33,33.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,8.33,0,0,0,0
4297,0,Sentiment140,# Butterfly # - Delta Goodrem! Aaah this was my favourite song when I was years younger. I miss my old house. The Australian sunsets!  ,21.49,5.5,99,25.77,20,16,16,0,0,0,0,4,4,0,8,4,4,0,12,4,4,4,4,4,0,0,4,0,0,0,8,4,0,0,4,4,0,0,0
4298,0,Sentiment140,# cough # runny nose or stuffy nose # sore throat # body aches # headache  4 more and i would have flu ,41.91,17.04,1,1,4.76,4.76,4.76,0,0,0,0,0,0,0,9.52,0,9.52,0,9.52,9.52,4.76,0,0,4.76,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0
4299,1,Sentiment140,# state of origin: go queensland!! ,99,50,74.76,25.77,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
4300,1,Sentiment140,##Followfriday @AstrologyLesson for esoteric secrets of astrology and informative astrology lessons ,97.73,76.25,52.86,25.77,0,0,0,0,0,0,0,0,0,14.29,0,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0
4301,0,Sentiment140,#&amp;%^@ it's june bug season again.  ,18.82,50,98.01,25.77,11.11,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0
4302,0,Sentiment140,"#&amp;iranelection I am a Muslim Turk living in St. Louis, MO and I will pray for the victims. ",87.93,18.16,11,1,9.09,9.09,9.09,0,0,0,0,0,9.09,9.09,9.09,0,4.55,0,18.18,4.55,4.55,0,0,4.55,0,0,0,0,0,0,0,4.55,9.09,0,0,0,0,9.09,0
4303,1,Sentiment140,#^%^%#&amp;%!@!! sharepoint ,93.26,50,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304,0,Sentiment140,#1  Shasta Magic- baaad.,93.26,50,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305,1,Sentiment140,#1 Birthday Wish: For Pat Lam to tell me Happy Birthday  Happy Birthday to Freak ,98.87,28.91,23.51,98.27,5.56,5.56,5.56,0,0,0,0,0,0,16.67,0,0,0,0,11.11,11.11,0,0,11.11,5.56,0,0,0,5.56,0,0,0,5.56,5.56,0,0,0,0,0,0
4306,1,Sentiment140,#1 Google search result for &quot;want to see something gross&quot; is my blog... couldn't be prouder! ,55.4,17.04,1,25.77,9.52,4.76,4.76,0,0,0,0,4.76,0,9.52,14.29,0,0,4.76,23.81,9.52,4.76,0,4.76,4.76,0,0,0,0,0,0,0,19.05,0,0,4.76,0,0,0,0
4307,0,Sentiment140, no text...,52.71,2.31,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308,0,Sentiment140, no tickets left for non-memers to chelsea flower show,97.95,22.08,1.4,25.77,0,0,0,0,0,0,0,0,0,15.38,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,0,0
4309,0,Sentiment140, nobody loves me... Everybody hates me .. I'm going to go eat worms now,5.18,10.58,99,25.77,31.25,18.75,18.75,0,0,0,0,12.5,0,6.25,6.25,6.25,0,6.25,31.25,0,0,0,6.25,6.25,0,6.25,0,12.5,0,0,0,37.5,6.25,0,0,0,0,0,0
4310,0,Sentiment140, NOBODYS TALKIN 2 VICKEY 2DAY LOL,46.37,13.32,1,99,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,0,Sentiment140, non of my old teachers are at kennedy anymore! (,81.63,20.24,98.01,25.77,16.67,8.33,8.33,0,0,0,0,8.33,0,16.67,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0
4312,0,Sentiment140, NOOO!!!!!I hate when this HAPPENS!My mom wasn't able to get the paper sighed and now i cant go skate with my friends in NH. (boho),34.14,2.31,98.01,1,16.67,13.33,13.33,0,0,0,0,3.33,3.33,10,3.33,6.67,6.67,6.67,20,0,0,3.33,0,6.67,0,3.33,3.33,6.67,3.33,3.33,6.67,20,0,3.33,3.33,0,0,0,0
4313,0,Sentiment140, noooo it doesnt work w/ iPods! i rly wanted unlimited music for $15 a month!,75.9,13.32,1,25.77,11.11,5.56,5.56,0,0,0,0,5.56,5.56,5.56,5.56,0,0,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,5.56,11.11,0,5.56,11.11,0,0,0,0
4314,0,Sentiment140, nose bleeds are back its been years gonna get it fixed again lol,11.86,50,74.76,99,12.5,0,0,0,0,0,0,12.5,0,0,12.5,12.5,0,0,25,0,0,0,6.25,0,0,0,0,0,0,0,6.25,12.5,6.25,0,0,0,0,0,0
4315,0,Sentiment140, not a good day at uni...,98.87,1.38,98.01,99,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4316,0,Sentiment140, not a good look. Oh well u did it to urself.,48.63,23.75,1.06,99,14.29,7.14,0,0,7.14,0,0,7.14,7.14,7.14,7.14,7.14,0,7.14,14.29,0,0,0,14.29,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0
4317,0,Sentiment140, not a happy bunny today i have to go to school in 6 mins .........school sucks!,96.93,1.81,81.22,25.77,5.26,5.26,5.26,0,0,0,0,0,5.26,15.79,5.26,0,0,5.26,15.79,5.26,0,0,5.26,5.26,0,5.26,0,0,0,0,0,21.05,0,10.53,0,0,0,0,0
